State,Year,Section_raw,Category_or_Location,Value,Note,Note2,Section,Category_or_Place
Alabama,2020,Firearm Types with an Alabama Recovery,Pistols,5636,,,Firearms Types Recovered in State,Pistols
Alabama,2020,Firearm Types with an Alabama Recovery,Revolvers,888,,,Firearms Types Recovered in State,Revolvers
Alabama,2020,Firearm Types with an Alabama Recovery,Rifles,836,,,Firearms Types Recovered in State,Rifles
Alabama,2020,Firearm Types with an Alabama Recovery,Shotguns,462,,,Firearms Types Recovered in State,Shotguns
Alabama,2020,Firearm Types with an Alabama Recovery,Derringers,53,,,Firearms Types Recovered in State,Derringers
Alabama,2020,Firearm Types with an Alabama Recovery,Unknown Types,13,,,Firearms Types Recovered in State,Unknown Types
Alabama,2020,Firearm Types with an Alabama Recovery,Other*,32,"* Other includes Silencers, Receivers/Frames, Machineguns, Combinations and an Any Other Weapon.",,Firearms Types Recovered in State,Other*
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,9mm,2879,,,Top Calibers Reported,9mm
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.40 Cal,957,,,Top Calibers Reported,.40 Cal
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.380 Cal,782,,,Top Calibers Reported,.380 Cal
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.22 Cal,740,,,Top Calibers Reported,.22 Cal
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.38 Cal,430,,,Top Calibers Reported,.38 Cal
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.45 Cal,424,,,Top Calibers Reported,.45 Cal
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,12GA,324,,,Top Calibers Reported,12GA
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,5.56mm,179,,,Top Calibers Reported,5.56mm
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,7.62mm,154,,,Top Calibers Reported,7.62mm
Alabama,2020,Top Calibers Reported on Firearm Traces ​with an Alabama Recovery,.25 Cal,132,NOTE: There were 855 additional traces that were associated with other calibers.​ There were 64 traces with an unknown caliber.,,Top Calibers Reported,.25 Cal
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Firearm Under Investigation,1488,,,Top Crimes Reported,Firearm Under Investigation
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Possession of Weapon,1296,,,Top Crimes Reported,Possession of Weapon
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Found Firearm,1206,,,Top Crimes Reported,Found Firearm
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Dangerous Drugs,1083,,,Top Crimes Reported,Dangerous Drugs
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Carrying Concealed Weapon,609,,,Top Crimes Reported,Carrying Concealed Weapon
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Property Crimes,374,,,Top Crimes Reported,Property Crimes
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Health - Safety,350,,,Top Crimes Reported,Health - Safety
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Family Offense,255,,,Top Crimes Reported,Family Offense
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Weapon Offense,245,,,Top Crimes Reported,Weapon Offense
Alabama,2020,Top Categories Reported on Firearm Traces with an Alabama Recovery,Homicide,236,NOTE: There were 778 additional traces that were associated with other categories.,,Top Crimes Reported,Homicide
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Alabama,5419,,,Top States Where Firearms Came From,Alabama
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Georgia,256,,,Top States Where Firearms Came From,Georgia
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Mississippi,173,,,Top States Where Firearms Came From,Mississippi
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Florida,130,,,Top States Where Firearms Came From,Florida
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Tennessee,120,,,Top States Where Firearms Came From,Tennessee
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Texas,91,,,Top States Where Firearms Came From,Texas
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Louisiana,56,,,Top States Where Firearms Came From,Louisiana
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Kentucky,33,,,Top States Where Firearms Came From,Kentucky
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Ohio,30,,,Top States Where Firearms Came From,Ohio
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,South Carolina,27,,,Top States Where Firearms Came From,South Carolina
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,North Carolina,24,,,Top States Where Firearms Came From,North Carolina
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Virginia,20,,,Top States Where Firearms Came From,Virginia
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Missouri,19,,,Top States Where Firearms Came From,Missouri
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Pennsylvania,17,,,Top States Where Firearms Came From,Pennsylvania
Alabama,2020,Top 15 Source States for Firearms with an Alabama Recovery,Arkansas,13,"NOTE: An additional 31 states accounted for 146 other traces. The source state was identified in 6,574 total traces.",,Top States Where Firearms Came From,Arkansas
Alabama,2020,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,Under 3 Months,812,,,Time-to-Crime for Firearms Recovered in State,Under 3 Months
Alabama,2020,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,3 Months to Under 7 Months,636,,,Time-to-Crime for Firearms Recovered in State,3 Months to Under 7 Months
Alabama,2020,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,7 Months to Under 1 Year,454,,,Time-to-Crime for Firearms Recovered in State,7 Months to Under 1 Year
Alabama,2020,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,1 Year to Under 2 Years,768,,,Time-to-Crime for Firearms Recovered in State,1 Year to Under 2 Years
Alabama,2020,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,2 Years to Under 3 Years,564,,,Time-to-Crime for Firearms Recovered in State,2 Years to Under 3 Years
Alabama,2020,Time-To-Crime Rates for Firearms​ with an Alabama Recovery,3 Years and Over,2991,1/1/2020-12/31/2020 Alabama Average Time-to-Crime: 6.76 Years,1/1/2020-12/31/2020 National Average Time-to-Crime: 7.01 Years,Time-to-Crime for Firearms Recovered in State,3 Years and Over
Alabama,2020,Age of Possessors for Firearms with an Alabama Recovery,17 and Under,146,,,Age of Possessors,17 and Under
Alabama,2020,Age of Possessors for Firearms with an Alabama Recovery,18 to 21,817,,,Age of Possessors,18 to 21
Alabama,2020,Age of Possessors for Firearms with an Alabama Recovery,22 to 24,717,,,Age of Possessors,22 to 24
Alabama,2020,Age of Possessors for Firearms with an Alabama Recovery,25 to 30,1133,,,Age of Possessors,25 to 30
Alabama,2020,Age of Possessors for Firearms with an Alabama Recovery,31 to 40,1228,,,Age of Possessors,31 to 40
Alabama,2020,Age of Possessors for Firearms with an Alabama Recovery,41 to 50,601,,,Age of Possessors,41 to 50
Alabama,2020,Age of Possessors for Firearms with an Alabama Recovery,Over 50,447,1/1/2020-12/31/2020 Alabama Average Age of Possessor: 33 Years,1/1/2020-12/31/2020 National Average Age of Possessor: 34 Years,Age of Possessors,Over 50
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Mobile,1524,,,Top Recovery Cities in State,Mobile
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Huntsville,1371,,,Top Recovery Cities in State,Huntsville
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Tuscaloosa,433,,,Top Recovery Cities in State,Tuscaloosa
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Birmingham,258,,,Top Recovery Cities in State,Birmingham
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Montgomery,194,,,Top Recovery Cities in State,Montgomery
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Selma,164,,,Top Recovery Cities in State,Selma
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Opelika,152,,,Top Recovery Cities in State,Opelika
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Gadsden,147,,,Top Recovery Cities in State,Gadsden
Alabama,2020,Top Recovery Cities for Firearms with an Alabama Recovery,Florence,132,,,Top Recovery Cities in State,Florence
